title,rating,description,release_date,genre,casts,duration,country,production,m_link
The Shoplifting Pact,5.3,"After being home-schooled, Sky can't wait to get back into the high school experience and make some friends. But, when her new gang seems to prefer shoplifting to hanging out, Sky wonders whether she's fallen in with the wrong crowd.",2022-10-13,Thriller,[],89,None,[],https://cineb.net/movie/watch-the-shoplifting-pact-free-89269
The Huns,3.2,"It was a primitive time long ago when the nomadic tribes of the Huns ruled the Great Steppes. After her clan is destroyed, Hora is taken captive but secretly plans to seek her revenge. In this barbaric world of violent warriors and ritualistic shamans, she must devise a plan to survive and seek her retribution. Only the strong will live to tell this tale.",2021-06-20,Action,"['Берик Бурмаков', 'Владимир Фокс', 'Иван Безбородов', 'Размик Чрагян', 'Марина Сокольская']",88,Russia,[],https://cineb.to/movie/watch-the-huns-free-89266
Let's Get Physical,5.5,"Leading a double life as a fitness instructor and a prostitution ring with a client list, Sadie receives an anonymous tip and soon after her studio is raided by authorities, With only one question: who exactly was on the client list?",2022-10-15,Drama,"['Jenna Dewan', 'Jennifer Irwin', 'Bradley Stryker', 'Michael Consuelos']",85,United States of America,"['Lifetime', 'Everheart Productions', 'Johnson Management Group', 'Milojo Productions']",https://cineb.net/movie/watch-lets-get-physical-free-89263
It Is in Us All,5.6,A Londoner returns to his ancestral homeland of Donegal in the west of Ireland and is drawn in by a teenage boy who almost kills him in a car crash.,2022-09-23,Thriller,"[""Mark O'Halloran"", 'Keith McErlean', 'Antonia Campbell-Hughes', 'Rhys Mannion', 'Pauline Hutton']",92,Ireland,"['Pale Rebel Productions', 'Savage Productions']",https://cineb.net/movie/watch-it-is-in-us-all-free-89260
"Goodbye, Petrushka",7.1,"Claire moves impulsively from NYC to Paris, where she nannies for the family from hell, battles wacky French bureaucrats, embarrasses herself in front of her Parisian crush and navigates a toxic relationship - among other faux pas.",2022-06-12,Romance,"['Frédérique Nahmani', 'Casey Landman', 'Marine Assaiante', 'Dhane Ross', 'Regine Mont-Louis']",97,United States of America,"['Parsley Productions', 'Cufflink Productions', 'Baum18 Media', 'Irrational Productions']",https://cineb.net/movie/watch-goodbye-petrushka-free-89257
Autumn in the City,6.2,"Piper Grant moves to New York for a fresh start and to find her career passion. As she bounces between different exciting temp jobs that take her all over the city, she meets Austin Edwards, an aspiring writer. While Piper’s sunny optimism is at odds with Austin’s jaded personality, the magic of the autumn season soon brings them closer together. When Piper realizes her true passion is illustration, they decide to team up on a children’s book project, and in the process, they discover the thing they’re really searching for might be each other.",2022-10-15,Romance,"['Kurt Evans', 'Laura Soltis', 'Karolina Cubitt', 'Josh Chambers', 'Theresa Wong']",84,United States of America,['Two 4 The Money Media'],https://cineb.to/movie/watch-autumn-in-the-city-free-89254
Astonishing Tales of Terror: Rocktapussy!,N/A,A group of everyday heroes encounter the fight of their lives in the deep mines of Northern Ontario where they unwittingly awaken an ancient giant octopus.,2022-09-27,Fantasy,"['Alys Crocker', 'Connor Rueter', 'Patrick Kwok-Choon', 'Troy Blundell', 'Brigitte Kingsley']",93,Canada,['Good Soldier Films'],https://cineb.to/movie/watch-astonishing-tales-of-terror-rocktapussy-free-89251
A Radical Life,5.6,"An unfiltered look at the former First Lady of ISIS, Tania Joya, who for twelve years was married to John Georgelas, the highest ranking American in ISIS.",2022-10-09,Documentary,[],84,United States of America,"['Original Productions', 'Galactic Globe', 'Break Thru Films']",https://cineb.net/movie/watch-a-radical-life-free-89248
Stars at Noon,5.3,"In present-day Nicaragua, a headstrong American journalist and a mysterious English businessman strike up a romance as they become embroiled in a dangerous labyrinth of lies and conspiracies and are forced to try and escape the country.",2022-10-14,Romance,"['Benny Safdie', 'John C. Reilly', 'Margaret Qualley', 'Nick Romano', 'Sebastian Donoso']",135,United States of America,"['Curiosa Films', 'Barnstormer Productions', 'Ciné+', 'A24', 'Canal+', 'Ad Vitam Production', 'ARTE France Cinéma']",https://cineb.net/movie/watch-stars-at-noon-free-89224
Piggy,N/A,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,2022-10-07,Thriller,"['Carmen Machi', 'Pilar Castro', 'Chema Del Barco', 'Stéphanie Magnin Vella', 'Julián Valcárcel']",100,Spain,"['Backup Media', 'Cerdita AIE', 'Movistar+', 'Creative Europe Media Programme Of The European Union', 'Ecam', 'Televisión Española', 'Morena Films', 'Indéfilms', 'Eurimages']",https://cineb.net/movie/watch-piggy-free-89221
Bitch Ass,3.9,"A gang initiation goes wrong when a group of four recruits break into a house of horror, as they're all forced to play deadly games for their lives.",2022-03-14,Horror,"['Sheaun McKinney', 'Teon Kelley', ""Me'lisa Sellers"", 'Tunde Laleye']",83,United States of America,['Zebra Kidd'],https://cineb.net/movie/watch-bitch-ass-free-89218
Game of Love,2.3,"Follows Vivien and Roy as their love story continues and leads them to Roy’s childhood home in Sicily to prepare for the sale of the family estate. During the visit, a mysterious woman arrives and befriends Vivien, much to Roy’s displeasure. Tensions build and lines are crossed as secrets from Roy’s past force the couple to face aspects of their relationship they did not know existed.",2022-10-14,Romance,"['Alma Noce', 'Simone Coppo', 'Benjamin Mascolo', 'Bella Thorne', 'Michael E. Rodgers']",N/A,Italy,"['01 Distribution', 'Lotus Production', 'RAI Cinema']",https://cineb.net/movie/watch-game-of-love-free-89215
Old Man,4.8,"Deep in the woods, a lost hiker stumbles upon the cabin of an erratic and reclusive old man. What starts off as cordial conversation soon turns dangerous as it becomes clear that one or both of them might be hiding a terrifying secret.",2022-10-14,Thriller,"['Marc Senter', 'Stephen Lang', 'Liana Wright-Mark', 'Patch Darragh']",97,United States of America,"['Paper Street Pictures', 'Blood Oath', 'Rubicon Entertainment']",https://cineb.net/movie/watch-old-man-free-89212
Accident Man: Hitman's Holiday,5.9,"The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure.",2022-10-14,Crime,"['Faisal Mohammed', 'Beau Fowler', 'Ray Stevenson', 'Andreas Nguyen', 'Zara Phythian']",96,United Kingdom,['Six Demon Films'],https://cineb.net/movie/watch-accident-man-hitmans-holiday-free-89209
Summit Fever,4.8,"A daring dream to scale the world's most challenging trio of mountains soon turns into a terrifying nightmare for a group of friends when a deadly storm traps the climbers near the summit and cuts off all hope of rescue. With the odds stacked against them, the friends are forced to trust each other to save themselves by any means necessary.",2022-10-13,Thriller,"['Hannah New', 'Nancy Tate', 'Laura Ferries', 'Jocelyn Wedow', 'Théo Christine']",115,United Kingdom,"['Saban Films', 'Metrol Technology', 'Head Gear Films', 'Haymarket Films']",https://cineb.net/movie/watch-summit-fever-free-89206
The Accursed,4.2,"Elly is asked by a family friend to spend a few days looking after an elderly woman living in a remote cabin. She readily agrees thinking a short trip to the woods will be a nice escape. The cabin turns out to be anything but relaxing as Elly begins hallucinating in ways that blur reality with her dreams. As the visions take over, Elly realizes that she was lured there by a demonic presence hiding inside of the woman just waiting to break free.",2022-10-14,Horror,"['Alexis Knapp', 'Sarah Dumont', 'Kim Kendall', 'Olivia Day', 'Meg Foster']",96,United States of America,"['Storyoscopic Films', 'Blood Red Films']",https://cineb.net/movie/watch-the-accursed-free-89203
The Curse of Bridge Hollow,5.6,A Halloween-hating dad reluctantly teams up with his teenage daughter when an evil spirit wreaks havoc by making their town's decorations come to life.,2022-10-14,Comedy,"['Lauren Lapkus', 'Pfeiffer Yaeger', 'Rowan Delana Howard', 'William Finn Carmichael', 'Nickolas Wolf']",89,United States of America,['Ugly Baby Productions'],https://cineb.net/movie/watch-the-curse-of-bridge-hollow-free-89200
Rosaline,6.4,"Left heartbroken after Romeo begins to pursue her cousin Juliet, Rosaline schemes to foil the famous romance and win back her guy in this comedic twist of Shakespeare's Romeo and Juliet.",2022-10-11,Romance,"['Kyle Allen', 'Mercedes Colon', 'Spencer Rayshon Stevenson', 'Henry Hunter Hall', 'Sean Teale']",96,United States of America,"['21 Laps Entertainment', '20th Century Studios']",https://cineb.net/movie/watch-rosaline-free-89197
The Murder of Gabby Petito: What Really Happened,6.1,"Aspiring influencer Gabby Petito sets out on a cross-country road trip with her fiancé, but she soon disappears, and the ensuing mystery goes viral. New footage of the couple sheds light on their struggles that led to the nightmarish outcome.",2022-10-12,Crime,[],42,United States of America,['Jupiter Entertainment'],https://cineb.net/movie/watch-the-murder-of-gabby-petito-what-really-happened-free-89194
Our American Family,7.7,"Addiction is an all-encompassing force, in not only the lives of the afflicted, but also those around them. Our American Family provides an honest, unfiltered look at a close-knit Philadelphia family dealing with generational substance abuse.",2022-09-02,Documentary,"['Linda Geraghty', 'Nicole Caltabiano', 'Bryan Geraghty', 'Stephen Caltabiano', 'Chris Caltabiano Jr.']",87,United States of America,['World of HA Productions'],https://cineb.net/movie/watch-our-american-family-free-89191
"Hallelujah: Leonard Cohen, A Journey, A Song",7.6,"This feature-length documentary explores the life of singer-songwriter Leonard Cohen as seen through the prism of his internationally renowned hymn, Hallelujah.",2022-07-01,Documentary,"['Judy Collins', 'Rabbi Mordecai Finley', 'Hal Willner', 'Bob Dylan', 'John Cale']",115,United States of America,"['Dogwoof Films', 'Geller/Goldfine Productions']",https://cineb.net/movie/watch-hallelujah-leonard-cohen-a-journey-a-song-free-89188
Everything Is Cinema,6.4,"Chris, a young, independent filmmaker from Kerala gets inspired by Louis Malle’s 1969 documentary Calcutta and aspires to recreate the modern version of the documentary himself. He moves to Kolkata with his wife Anita, who is also a movie actress, to work on his documentary. While the shoot of the documentary is already progressing, Corona virus outbreak starts in India and his producer withholds the funds that he had agreed to release earlier. As the government imposed lock-down starts, Chris is stuck inside the rented apartment in Kolkata with Anita. To overcome the pent up frustrations, Chris decides to make a film about his own marriage without the knowledge of Anita.",2021-06-02,Drama,"['Sherin Catherine', 'Don Palathara']",72,India,[],https://cineb.net/movie/watch-everything-is-cinema-free-89185
Crisis in Cocaine Valley,N/A,Reveals how the Covid crisis has led to the near extinction of the massive cocaine production sites deep in the rainforest of the Peruvian Andes.,2022-10-13,Documentary,[],49,None,[],https://cineb.net/movie/watch-crisis-in-cocaine-valley-free-89182
Becoming Frederick Douglass,7.4,"In Becoming Frederick Douglass, acclaimed director Stanley Nelson and co-director Nicole London bring to life the story of an American icon. Using Douglass's own powerful, profound speeches and writing, the story retraces his journey from a man born and raised in slavery to one of the most prominent elder statesmen and inspiring voices for freedom in American history. With additional context and insight provided by historians, scholars and Douglass's descendants, the filmmakers recount the brutality and trauma of his childhood while illuminating his strength of character, defiance against the bonds of slavery and the influences that guided his lifelong quest for freedom. The most celebrated Black man of his era, Douglass's legacy and achievements continue to resonate today. His life and work still inspires activists, educators and citizens in the fight for freedom, equality and a more just American society.",2022-10-11,Documentary,[],54,United States of America,[],https://cineb.net/movie/watch-becoming-frederick-douglass-free-89179
Bad Blood,N/A,he lives of married Atlanta couple Veronica and Harry are turned upside down when Veronica’s estranged sister shows up unannounced on her birthday.,2022-09-20,Thriller,[],65,United States of America,[],https://cineb.net/movie/watch-bad-blood-free-89176
